Sigla;Designação;"Organismo
Conjunto de Organismos
Tipologia de Organismos";AP;Privados c/ FP;;;;;;;;;;;;;
PMar;Polícia Marítima;Organismo;AP;;;;;;;;;;;;;;

PMun;Polícia Municipal;Conjunto de organismos;AP;;;;;;;;;;;;;;

PR;Presidente da República;Organismo;AP;;;;;;;;;;;;;;

PSP;Polícia de Segurança Pública;Organismo;AP;;;;;;;;;;;;;;

RA-A;Região Autónoma dos Açores;Organismo;AP;;;;;;;;;;;;;;

RA-M;Região Autónoma da Madeira;Organismo;AP;;;;;;;;;;;;;;

SCML;Santa Casa da Misericórdia de Lisboa;Organismo;N;;;;;;;;;;;;;;

SEAL;Secretário de Estado das Autarquias Locais;Organismo;AP;;;;;;;;;;;;;;

SEATF;Secretário de Estado Adjunto, do Tesouro e das Finanças;Organismo;AP;;;;;;;;;;;;;;

SEF;Serviço de Estrangeiros e Fronteiras;Organismo;AP;;;;;;;;;;;;;;

SEN;Sistema Estatístico Nacional;Organismo;AP;;;;;;;;;;;;;;

SEO;Secretário de Estado do Orçamento;Organismo;AP;;;;;;;;;;;;;;

SGMAI;Secretaria Geral do Ministério da Administração Interna ;Organismo;AP;;;;;;;;;;;;;;

SGMF;Secretaria Geral do Ministério das Finanças ;Organismo;AP;;;;;;;;;;;;;;

SGMJ;Secretaria Geral do Ministério da Justiça;Organismo;AP;;;;;;;;;;;;;;

SGMNE;Secretaria Geral do Ministério dos Negócios Estrangeiros;Organismo;AP;;;;;;;;;;;;;;

SGPCM;Secretaria Geral da Presidência do Conselho de Ministros;Organismo;AP;;;;;;;;;;;;;;

SICAD;Serviço de Intervenção nos Comportamentos Aditivos e nas Dependências;Organismo;AP;;;;;;;;;;;;;;

SIRP;Sistema de Informações da República Portuguesa;Organismo;AP;;;;;;;;;;;;;;

SIS;Serviço de Informações e Segurança ;Organismo;AP;;;;;;;;;;;;;;

SMT;Serviços de Medicina do Trabalho;Conjunto de organismos;AP;;;;;;;;;;;;;;

SPE;Setor Público Empresarial;Conjunto de organismos;AP;;;;;;;;;;;;;;

SPMS;Serviços Partilhados do Ministério da Saúde, EPE;Organismo;AP;;;;;;;;;;;;;;

SSAP;Serviços Sociais da Administração Pública;Organismo;AP;;;;;;;;;;;;;;

STA;Supremo Tribunal Administrativo;Organismo;AP;;;;;;;;;;;;;;

STJ;Supremo Tribunal de Justiça;Organismo;AP;;;;;;;;;;;;;;

TC;Tribunal Constitucional;Organismo;AP;;;;;;;;;;;;;;

TContas;Tribunal de Contas;Organismo;AP;;;;;;;;;;;;;;

TEP;Tribunal de Execução de Penas;Organismo;AP;;;;;;;;;;;;;;

TFM;Tribunal de Família e Menores;Organismo;AP;;;;;;;;;;;;;;

TIC;Tribunal de Instrução Criminal;Organismo;AP;;;;;;;;;;;;;;

TComarca;Tribunais de Comarca;Conjunto de organismos;AP;;;;;;;;;;;;;;

TR;Tribunais da Relação;Conjunto de organismos;AP;;;;;;;;;;;;;;

Trb;Tribunais;Conjunto de organismos;AP;;;;;;;;;;;;;;

TP;Turismo de Portugal, IP;Organismo;AP;;;;;;;;;;;;;;

UI;Unidades de Investigação;Tipologia de organismo;AP;;;;;;;;;;;;;;

UL;Unidades Laboratoriais;Tipologia de organismo;AP;;;;;;;;;;;;;;

UPCS;Unidades Prestadoras de Cuidados de Saúde;Tipologia de organismo;AP;;;;;;;;;;;;;;
