Sigla;Designação;"Tipologia";AP;Privados c/ FP;;;;;;;;;;;;;
ONS;Organizações de normalização setorial;Tipologia de Organização;N;;;;;;;;;;;;;;

OPC;Órgãos de Polícia Criminal;Organização;AP;;;;;;;;;;;;;;

PCM;Presidência do Conselho de Ministros;Organização;AP;;;;;;;;;;;;;;

PGR;Procuradoria-Geral da República;Organização;AP;;;;;;;;;;;;;;

PJ;Polícia Judiciária;Organização;AP;;;;;;;;;;;;;;

PM;Primeiro-Ministro;Organização;AP;;;;;;;;;;;;;;

PMar;Polícia Marítima;Organização;AP;;;;;;;;;;;;;;

PR;Presidente da República;Organização;N;;;;;;;;;;;;;;

PMun;Polícias Municipais;Conjunto de Organizações;AP;;;;;;;;;;;;;;

PSP;Polícia de Segurança Pública;Organização;AP;;;;;;;;;;;;;;

PSP;Polícia de Segurança Pública;Organização;AP;;;;;;;;;;;;;;

RA-A;Região Autónoma dos Açores;Organização;AP;;;;;;;;;;;;;;

RA-M;Região Autónoma da Madeira;Organização;AP;;;;;;;;;;;;;;

SCML;Santa Casa da Misericórdia de Lisboa;Organização;N;;;;;;;;;;;;;;

SEAL;Secretário de Estado das Autarquias Locais;Organização;N;;;;;;;;;;;;;;

SEF;Serviço de Estrangeiros e Fronteiras;Organização;AP;;;;;;;;;;;;;;

SEN;Sistema Estatístico Nacional;Organização;AP;;;;;;;;;;;;;;

MF;Ministro das Finanças;Organização;N;;;;;;;;;;;;;;

SGMAI;Secretaria Geral do Ministério da Administração Interna ;Organização;AP;;;;;;;;;;;;;;

SGMF;Secretaria Geral do Ministério das Finanças ;Organização;AP;;;;;;;;;;;;;;

SGMJ;Secretaria Geral do Ministério da Justiça;Organização;AP;;;;;;;;;;;;;;

SGMNE;Secretaria Geral do Ministério dos Negócios Estrangeiros;Organização;AP;;;;;;;;;;;;;;

SGPCM;Secretaria Geral da Presidência do Conselho de Ministros;Organização;AP;;;;;;;;;;;;;;

SICAD;Serviço de Intervenção nos Comportamentos Aditivos e nas Dependências;Organização;AP;;;;;;;;;;;;;;

SIRP;Sistema de Informações da República Portuguesa;Organização;AP;;;;;;;;;;;;;;

SIS;Serviço de Informações e Segurança ;Organização;AP;;;;;;;;;;;;;;

SMT;Serviços de Medicina do Trabalho;Conjunto de Organizações;AP;;;;;;;;;;;;;;

SPE;Setor Público Empresarial;Conjunto de Organizações;AP;;;;;;;;;;;;;;

SPMS;Serviços Partilhados do Ministério da Saúde, EPE;Organização;AP;;;;;;;;;;;;;;

SSAP;Serviços Sociais da Administração Pública;Organização;AP;;;;;;;;;;;;;;

STA;Supremo Tribunal Administrativo;Organização;N;;;;;;;;;;;;;;

STJ;Supremo Tribunal de Justiça;Organização;N;;;;;;;;;;;;;;

TC;Tribunal Constitucional;Organização;N;;;;;;;;;;;;;;

TContas;Tribunal de Contas;Organização;N;;;;;;;;;;;;;;

TEP;Tribunais de Execução de Penas;Conjunto de Organizações;N;;;;;;;;;;;;;;

TFM;Tribunais de Família e Menores;Conjunto de Organizações;N;;;;;;;;;;;;;;

TIC;Tribunais de Instrução Criminal;Conjunto de Organizações;N;;;;;;;;;;;;;;

TComarca;Tribunais de Comarca;Conjunto de Organizações;N;;;;;;;;;;;;;;

TR;Tribunais da Relação;Conjunto de Organizações;N;;;;;;;;;;;;;;

Trb;Tribunais;Conjunto de Organizações;N;;;;;;;;;;;;;;

TP;Turismo de Portugal, IP;Organização;AP;;;;;;;;;;;;;;

UI;Unidades de Investigação;Tipologia de Organização;AP;;;;;;;;;;;;;;

UL;Unidades Laboratoriais;Tipologia de Organização;AP;;;;;;;;;;;;;;

UPCS;Unidades Prestadoras de Cuidados de Saúde;Tipologia de Organização;AP;;;;;;;;;;;;;;
